State/UT,Number of Authorized Hospital Admissions - FY 2018-19,Number of Authorized Hospital Admissions - FY 2019-20,Number of Authorized Hospital Admissions - FY 2020-21
Andaman and Nicobar Islands,14,153,342
Andhra Pradesh,133432,606295,445122
Arunachal Pradesh,378,1354,77
Assam,32713,90194,93355
Bihar,19733,160114,89282
Chandigarh,358,3515,5379
Chhattisgarh,231267,636985,498774
Dadra & Nagar Haveli and Daman & Diu,8484,33993,18945
Delhi,NA,NA,NA
Goa,9723,374,139
Gujarat,314251,1140664,825788
Haryana,11226,97511,138814
Himachal Pradesh,8692,48241,29343
Jammu and Kashmir,6317,66797,67926
Ladakh,NA,559,396
Jharkhand,108037,409749,298267
Karnataka,119507,594257,683363
Kerala,NA,976857,1044635
Lakshadweep,NA,1,NA
Madhya Pradesh,45409,278763,430474
Maharashtra,108247,214922,136699
Manipur,1508,12807,16369
Meghalaya,1146,124716,123737
Mizoram,7097,27726,16991
Nagaland,269,10227,7358
Odisha,NA,NA,NA
Puducherry,NA,1370,2587
Punjab,NA,196697,422884
Rajasthan,NA,925684,410464
Sikkim,9,1215,2027
Tamil Nadu,400235,854893,1568343
Telangana,NA,NA,NA
Tripura,7800,51152,30238
Uttar Pradesh,68141,289177,319600
Uttarakhand,20594,130291,121867
West Bengal,17636,NA,NA
All-India,1682223,7987253,7849585
