State_NFHS5,District_NFHS5,District_norm,State_norm,Total_Population,SC_Population,ST_Population,SC_Pct,ST_Pct,SCST_Combined_Pct,Source,Census_Year,Table_Reference,Primary_URL,Download_Instructions,Note
Andaman & Nicobar Islands,Nicobars,NICOBARS,ANDAMAN & NICOBAR ISLANDS,36842,0,2726,0.0,7.4,7.4,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andaman & Nicobar Islands,North & Middle Andaman,NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS,105597,0,7814,0.0,7.4,7.4,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andaman & Nicobar Islands,South Andaman,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLANDS,238142,0,17622,0.0,7.4,7.4,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Srikakulam,SRIKAKULAM,ANDHRA PRADESH,2703114,443310,148671,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Vizianagaram,VIZIANAGARAM,ANDHRA PRADESH,2344474,384493,128946,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM,ANDHRA PRADESH,4290589,703656,235982,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,East Godavari,EAST GODAVARI,ANDHRA PRADESH,5154296,845304,283486,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,West Godavari,WEST GODAVARI,ANDHRA PRADESH,3936966,645662,216533,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Krishna,KRISHNA,ANDHRA PRADESH,4517398,740853,248456,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Guntur,GUNTUR,ANDHRA PRADESH,4887813,801601,268829,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Prakasam,PRAKASAM,ANDHRA PRADESH,3397448,557181,186859,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Sri Potti Sriramulu Nello,SRI POTTI SRIRAMULU NELLO,ANDHRA PRADESH,2963557,486023,162995,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Y.S.R.,Y.S.R.,ANDHRA PRADESH,2882469,472724,158535,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Kurnool,KURNOOL,ANDHRA PRADESH,4053463,664767,222940,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
Andhra Pradesh,Anantapur,ANANTAPUR,ANDHRA PRADESH,4081148,669308,224463,16.4,5.5,21.9,STATE_MEAN_ESTIMATED,2011,Census 2011 PCA B-13 (SC) / B-14 (ST),https://censusindia.gov.in/census.website/data/census-tables,Census Tables → 2011 → Primary Census Abstract → B Series → B-13 / B-14 → District Level,PUBLISHED=direct from Census 2011 PCA district tables. STATE_MEAN_ESTIMATED=Census 2011 state-level published means applied.
