State,District,RMNCH,NCD,FRP,UHC_Index,UHC_Tercile,SCA,Infectious_Diseases,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,UHC_District,UHC_Poorest20,UHC_Rural,UHC_ReligMin,UHC_SCST,Service_Coverage,FRP_D,UHC_Index_D,Region,UHC_Gap,SCA_FRP_Gap,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,HC_Cluster,KM_Cluster
Andaman Nicobar Islands,Nicobar,67.42,29.36,30.85,50.57,High UHC,66.73,81.19,0.7234295921405179,0.7644186756179433,0.0956858407079646,0.561889250814332,0.6887712119388614,0.8129213483146066,50.57,41.53,50.63,49.75,49.09,57.22,30.85,50.57,South,49.43,26.37,9.04,-0.06,1.48,0.82,1.0,2.0
Andaman Nicobar Islands,North  & Middle Andaman,83.34,13.22,28.49,46.36,Medium UHC,76.95,88.66,0.9604048824054777,0.27189502593835835,0.0630530973451327,0.4639367147510469,0.8117703694788783,0.8968539325842696,,,,,,52.36,28.49,46.36,South,53.64,23.87,,,,,3.0,0.0
Andaman Nicobar Islands,South Andaman,67.25,12.57,23.93,42.21,Medium UHC,73.95,89.58,0.7208990771062816,0.25205981080256334,0.0,0.36738017682643087,0.7756649416295582,0.9071910112359549,42.21,35.69,40.88,42.16,42.56,48.65,23.93,42.21,South,57.79,24.72,6.52,1.33,-0.35,0.05,3.0,1.0
Andhra Pradesh,Prakasam,66.5,12.85,88.57,50.09,High UHC,61.62,67.58,0.7097350401905328,0.2606042111687519,0.8938053097345133,0.5507212657049791,0.627271633168853,0.6599999999999999,50.09,48.15,50.07,46.28,49.4,43.44,88.57,50.09,South,49.91,-45.13,1.94,0.02,0.69,3.81,3.0,0.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,72.45,21.28,80.34,58.26,High UHC,71.7,75.56,0.7983030663888061,0.5178516936222155,0.7800055309734515,0.7408096789204279,0.7485858707425683,0.7496629213483146,58.26,51.5,58.5,53.62,60.52,53.76,80.34,58.26,South,41.74,-26.58,6.76,-0.24,-2.26,4.64,3.0,2.0
Andhra Pradesh,Y.S.R.,73.33,21.77,85.77,58.94,High UHC,68.99,75.34,0.811402203036618,0.5328043942630455,0.8550884955752214,0.7566309911586784,0.7159706342520158,0.747191011235955,58.94,53.86,60.29,56.22,59.15,53.67,85.77,58.94,South,41.06,-32.1,5.08,-1.35,-0.21,2.72,3.0,2.0
Andhra Pradesh,Chittoor,71.06,11.28,84.94,51.74,High UHC,74.22,73.4,0.7776123846382851,0.21269453768690874,0.8436117256637168,0.5891112145183806,0.7789144301359969,0.7253932584269663,51.74,45.75,52.97,49.48,50.1,45.71,84.94,51.74,South,48.26,-39.23,5.99,-1.23,1.64,2.26,3.0,0.0
Andhra Pradesh,East Godavari,65.08,14.49,82.54,51.96,High UHC,61.39,79.2,0.6885977969633819,0.3106499847421422,0.8104258849557524,0.5942298743601675,0.6245035503670717,0.790561797752809,51.96,45.54,51.64,52.71,51.49,46.28,82.54,51.96,South,48.04,-36.26,6.42,0.32,0.47,-0.75,3.0,0.0
Andhra Pradesh,Vizianagaram,70.77,17.12,90.63,57.08,High UHC,67.58,81.68,0.7732956236975289,0.3909063167531279,0.9222898230088497,0.7133550488599347,0.6990010831628355,0.8184269662921348,57.08,42.99,56.02,52.44,53.35,50.85,90.63,57.08,South,42.92,-39.78,14.09,1.06,3.73,4.64,3.0,0.0
Andhra Pradesh,Guntur,78.23,11.79,88.82,53.48,High UHC,67.86,78.69,0.8843405775528431,0.22825755263960942,0.8972621681415929,0.6295951605397858,0.7023709230954387,0.7848314606741572,53.48,50.86,53.59,54.36,52.6,47.11,88.82,53.48,South,46.52,-41.71,2.62,-0.11,0.88,-0.88,3.0,0.0
