State,District,Region,State_key,District_key,RMNCH,Infectious_Diseases,NCD,SCA,FRP,UHC_Index,UHC_Gap,UHC_Tercile,Service_Coverage,FRP_D,SCA_FRP_Gap,UHC_District,UHC_Poorest20,UHC_Rural,UHC_SCST,UHC_ReligMin,Equity_Gap_Poor,Equity_Gap_Rural,Equity_Gap_SCST,Equity_Gap_ReligMin,SC_Pct,ST_Pct,PMJAY_Enrolled,Opt_Out,Type1_Score,Type2_Score,Type3_Score,Type1_Score_norm,Type2_Score_norm,Type3_Score_norm,TCFD_Type,TCFD_Description,DiD_Treatment,HC_Cluster,KM_Cluster,RMNCH_norm,NCD_norm,FRP_norm,UHC_Index_norm,SCA_norm,Infectious_Diseases_norm,Equity_Gap_Poor_norm,Equity_Gap_SCST_norm,Equity_Gap_Rural_norm,Equity_Gap_ReligMin_norm,SCA_FRP_Gap_norm,SC_Pct_norm,ST_Pct_norm,Type1_Score_norm,Type2_Score_norm,T3_ASHA_inv_norm,Type3_Score_norm
Andaman Nicobar Islands,Nicobar,South,Andaman Nicobar Islands,Nicobar,67.42,81.19,29.36,66.73,30.85,50.57,49.43,High UHC,57.22,30.85,26.37,50.57,41.53,50.63,49.09,49.75,9.04,-0.06,1.48,0.82,,,1,0,0,0.31885936612379057,0.5446134685526198,0.0,0.378487620059899,0.5949271384647606,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,1.0,2.0,0.7234295921405179,0.7644186756179433,0.0956858407079646,0.561889250814332,0.6887712119388614,0.8129213483146066,0.44221655122129044,0.2872628726287263,0.12641272498953535,0.22709867452135493,0.9999999999999999,,,0.0,0.378487620059899,0.6338404056578596,0.5949271384647606
Andaman Nicobar Islands,North  & Middle Andaman,South,Andaman Nicobar Islands,North  & Middle Andaman,83.34,88.66,13.22,76.95,28.49,46.36,53.64,Medium UHC,52.36,28.49,23.87,,,,,,,,,,,,1,0,0,,0.5355050049682571,0.0,,0.5813777438156974,Unclassified,Insufficient data to classify.,1,3.0,0.0,0.9604048824054776,0.2718950259383583,0.0630530973451327,0.4639367147510469,0.8117703694788783,0.8968539325842696,,,,,0.9726746092469121,,,0.0,,0.6338404056578596,0.5813777438156974
Andaman Nicobar Islands,South Andaman,South,Andaman Nicobar Islands,South Andaman,67.25,89.58,12.57,73.95,23.93,42.21,57.79,Medium UHC,48.65,23.93,24.72,42.21,35.69,40.88,42.56,42.16,6.52,1.33,-0.35,0.05,,,1,0,0,0.2531238814496694,0.5386018825869404,0.0,0.2417222878962788,0.5859845379963788,Type_III,Policy-Actionable: PM-JAY gap or ASHA deficit — addressable in one budget cycle.,1,3.0,1.0,0.7208990771062816,0.2520598108025633,0.0,0.3673801768264308,0.7756649416295582,0.9071910112359548,0.3503463361283266,0.2046070460704607,0.18459606529928838,0.2044182621502209,0.9819652421029619,,,0.0,0.2417222878962788,0.6338404056578596,0.5859845379963788
Andhra Pradesh,Prakasam,South,Andhra Pradesh,Prakasam,66.5,67.58,12.85,61.62,88.57,50.09,49.91,High UHC,43.44,88.57,-45.13,50.09,48.15,50.07,49.4,46.28,1.94,0.02,0.69,3.81,16.4,5.5,1,0,0,0.25004202723263463,0.2726578027095411,0.0,0.23531036566337638,0.1903765126179687,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,0.0,0.7097350401905328,0.2606042111687519,0.8938053097345133,0.5507212657049791,0.627271633168853,0.6599999999999999,0.18337586584032078,0.2515808491418247,0.12976140644621179,0.31516936671575846,0.21849382446168975,0.5141065830721003,0.0580168776371308,0.0,0.23531036566337638,0.5994795836669335,0.1903765126179687
Andhra Pradesh,Sri Potti Sriramulu Nellore,South,Andhra Pradesh,Sri Potti Sriramulu Nellore,72.45,75.56,21.28,71.7,80.34,58.26,41.74,High UHC,53.76,80.34,-26.58,58.26,51.5,58.5,60.52,53.62,6.76,-0.24,-2.26,4.64,16.4,5.5,1,0,0,0.27235027147168084,0.34024260250551147,0.0,0.28172356925448705,0.2909130209140167,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,2.0,0.7983030663888061,0.5178516936222155,0.7800055309734515,0.7408096789204279,0.7485858707425683,0.7496629213483146,0.35909588042289464,0.11833785004516711,0.11887819171201337,0.33961708394698087,0.42124822384960103,0.5141065830721003,0.0580168776371308,0.0,0.28172356925448705,0.5994795836669335,0.2909130209140167
Andhra Pradesh,Y.S.R.,South,Andhra Pradesh,Y.S.R.,73.33,75.34,21.77,68.99,85.77,58.94,41.06,High UHC,53.67,85.77,-32.1,58.94,53.86,60.29,59.15,56.22,5.08,-1.35,-0.21,2.72,16.4,5.5,1,0,0,0.2639476138076105,0.3201311149112389,0.0,0.26424150044217354,0.2609959575288855,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,2.0,0.811402203036618,0.5328043942630455,0.8550884955752214,0.7566309911586784,0.7159706342520158,0.747191011235955,0.2978490703609187,0.2109304426377597,0.07241523650062787,0.28306332842415316,0.3609137610667832,0.5141065830721003,0.0580168776371308,0.0,0.26424150044217354,0.5994795836669335,0.2609959575288855
Andhra Pradesh,Chittoor,South,Andhra Pradesh,Chittoor,71.06,73.4,11.28,74.22,84.94,51.74,48.26,High UHC,45.71,84.94,-39.23,51.74,45.75,52.97,50.1,49.48,5.99,-1.23,1.64,2.26,16.4,5.5,1,0,0,0.2983426761791379,0.29415377676863685,0.0,0.33580181757302563,0.22235308398975764,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.7776123846382851,0.2126945376869087,0.8436117256637168,0.5891112145183806,0.7789144301359969,0.7253932584269663,0.33102442581115565,0.2944896115627823,0.07743825868564251,0.2695139911634757,0.28298174663897696,0.5141065830721003,0.0580168776371308,0.0,0.33580181757302563,0.5994795836669335,0.22235308398975764
Andhra Pradesh,East Godavari,South,Andhra Pradesh,East Godavari,65.08,79.2,14.49,61.39,82.54,51.96,48.04,High UHC,46.28,82.54,-36.26,51.96,45.54,51.64,51.49,52.71,6.42,0.32,0.47,-0.75,16.4,5.5,1,0,0,0.25639965770959905,0.3049746315068596,0.0,0.2485376727756019,0.23844976483284455,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,0.0,0.6885977969633819,0.3106499847421422,0.8104258849557524,0.5942298743601675,0.6245035503670717,0.790561797752809,0.3467006926722566,0.24164408310749774,0.1423189619087484,0.1808541973490427,0.3154443108536452,0.5141065830721003,0.0580168776371308,0.0,0.2485376727756019,0.5994795836669335,0.23844976483284455
Andhra Pradesh,Vizianagaram,South,Andhra Pradesh,Vizianagaram,70.77,81.68,17.12,67.58,90.63,57.08,42.92,High UHC,50.85,90.63,-39.78,57.08,42.99,56.02,53.35,52.44,14.09,1.06,3.73,4.64,16.4,5.5,1,0,0,0.4516091728628984,0.29214991478007707,0.0,0.6546789572552569,0.21937221716696373,Type_II,Historical Injustice: SC/ST or income gaps embedded in health system access.,1,3.0,0.0,0.7732956236975289,0.3909063167531279,0.9222898230088497,0.7133550488599347,0.6990010831628355,0.8184269662921348,0.6263215457528254,0.38888888888888884,0.1732942653830054,0.33961708394698087,0.2769701606732976,0.5141065830721003,0.0580168776371308,0.0,0.6546789572552569,0.5994795836669335,0.21937221716696373
Andhra Pradesh,Guntur,South,Andhra Pradesh,Guntur,78.23,78.69,11.79,67.86,88.82,53.48,46.52,High UHC,47.11,88.82,-41.71,53.48,50.86,53.59,52.6,54.36,2.62,-0.11,0.88,-0.88,16.4,5.5,1,0,0,0.21511795992882143,0.2851181808929491,0.0,0.16264943239439228,0.20891208449788698,Mixed,Multiple pathways near-equal — multi-pronged intervention required.,1,3.0,0.0,0.8843405775528431,0.2282575526396094,0.8972621681415929,0.6295951605397858,0.7023709230954387,0.7848314606741572,0.20816624134159678,0.26016260162601623,0.12431979907911259,0.17702503681885126,0.2558749590119138,0.5141065830721003,0.0580168776371308,0.0,0.16264943239439228,0.5994795836669335,0.20891208449788698
